date,step_of_day,interval_start,interval_end,duration_h,load_kw,pv_actual_kw,net_load_kw,fixed_price_yuan_per_kwh,variable_price_yuan_per_kwh
2025-01-01 00:00:00,1,2025-01-01 00:00:00,2025-01-01 00:10:00,0.16666667,3529.72960000,0.00000000,3529.72960000,0.42480000,0.45270000
2025-01-01 00:00:00,2,2025-01-01 00:10:00,2025-01-01 00:20:00,0.16666667,3609.52870000,0.00000000,3609.52870000,0.42450000,0.47330000
2025-01-01 00:00:00,3,2025-01-01 00:20:00,2025-01-01 00:30:00,0.16666667,3726.56000000,0.00000000,3726.56000000,0.42690000,0.48430000
2025-01-01 00:00:00,4,2025-01-01 00:30:00,2025-01-01 00:40:00,0.16666667,3510.63110000,0.00000000,3510.63110000,0.42720000,0.45410000
2025-01-01 00:00:00,5,2025-01-01 00:40:00,2025-01-01 00:50:00,0.16666667,3502.56250000,0.00000000,3502.56250000,0.42710000,0.42660000
2025-01-01 00:00:00,6,2025-01-01 00:50:00,2025-01-01 01:00:00,0.16666667,3787.01000000,0.00000000,3787.01000000,0.42850000,0.43110000
2025-01-01 00:00:00,7,2025-01-01 01:00:00,2025-01-01 01:10:00,0.16666667,3900.32050000,0.00000000,3900.32050000,0.43110000,0.45440000
2025-01-01 00:00:00,8,2025-01-01 01:10:00,2025-01-01 01:20:00,0.16666667,3916.83760000,0.00000000,3916.83760000,0.43020000,0.44830000
2025-01-01 00:00:00,9,2025-01-01 01:20:00,2025-01-01 01:30:00,0.16666667,3817.28000000,0.00000000,3817.28000000,0.42790000,0.42510000
2025-01-01 00:00:00,10,2025-01-01 01:30:00,2025-01-01 01:40:00,0.16666667,3533.01360000,0.00000000,3533.01360000,0.43120000,0.44400000
2025-01-01 00:00:00,11,2025-01-01 01:40:00,2025-01-01 01:50:00,0.16666667,3694.66130000,0.00000000,3694.66130000,0.43330000,0.47800000
2025-01-01 00:00:00,12,2025-01-01 01:50:00,2025-01-01 02:00:00,0.16666667,4064.73000000,0.00000000,4064.73000000,0.43110000,0.49410000
2025-01-01 00:00:00,13,2025-01-01 02:00:00,2025-01-01 02:10:00,0.16666667,3810.67100000,0.00000000,3810.67100000,0.42930000,0.48400000
2025-01-01 00:00:00,14,2025-01-01 02:10:00,2025-01-01 02:20:00,0.16666667,3844.94950000,0.00000000,3844.94950000,0.43240000,0.47510000
2025-01-01 00:00:00,15,2025-01-01 02:20:00,2025-01-01 02:30:00,0.16666667,4234.62000000,0.00000000,4234.62000000,0.43670000,0.48800000
2025-01-01 00:00:00,16,2025-01-01 02:30:00,2025-01-01 02:40:00,0.16666667,4109.97550000,0.00000000,4109.97550000,0.43480000,0.52150000
2025-01-01 00:00:00,17,2025-01-01 02:40:00,2025-01-01 02:50:00,0.16666667,3996.89450000,0.00000000,3996.89450000,0.43350000,0.54980000
2025-01-01 00:00:00,18,2025-01-01 02:50:00,2025-01-01 03:00:00,0.16666667,4102.19000000,0.00000000,4102.19000000,0.43570000,0.54710000
2025-01-01 00:00:00,19,2025-01-01 03:00:00,2025-01-01 03:10:00,0.16666667,4086.05770000,0.00000000,4086.05770000,0.43740000,0.50670000
2025-01-01 00:00:00,20,2025-01-01 03:10:00,2025-01-01 03:20:00,0.16666667,4133.76260000,0.00000000,4133.76260000,0.43710000,0.47690000
2025-01-01 00:00:00,21,2025-01-01 03:20:00,2025-01-01 03:30:00,0.16666667,4179.18000000,0.00000000,4179.18000000,0.43560000,0.46690000
2025-01-01 00:00:00,22,2025-01-01 03:30:00,2025-01-01 03:40:00,0.16666667,3953.37110000,0.00000000,3953.37110000,0.43530000,0.45010000
2025-01-01 00:00:00,23,2025-01-01 03:40:00,2025-01-01 03:50:00,0.16666667,3910.74960000,0.00000000,3910.74960000,0.43600000,0.46080000
2025-01-01 00:00:00,24,2025-01-01 03:50:00,2025-01-01 04:00:00,0.16666667,4099.31000000,0.00000000,4099.31000000,0.43780000,0.49270000
2025-01-01 00:00:00,25,2025-01-01 04:00:00,2025-01-01 04:10:00,0.16666667,4123.86230000,0.00000000,4123.86230000,0.44010000,0.49760000
2025-01-01 00:00:00,26,2025-01-01 04:10:00,2025-01-01 04:20:00,0.16666667,4169.00680000,0.00000000,4169.00680000,0.43890000,0.48890000
2025-01-01 00:00:00,27,2025-01-01 04:20:00,2025-01-01 04:30:00,0.16666667,4260.24000000,0.00000000,4260.24000000,0.43640000,0.48850000
2025-01-01 00:00:00,28,2025-01-01 04:30:00,2025-01-01 04:40:00,0.16666667,4217.22220000,0.00000000,4217.22220000,0.43930000,0.50420000
2025-01-01 00:00:00,29,2025-01-01 04:40:00,2025-01-01 04:50:00,0.16666667,4261.85700000,0.00000000,4261.85700000,0.44220000,0.51780000
2025-01-01 00:00:00,30,2025-01-01 04:50:00,2025-01-01 05:00:00,0.16666667,4341.90000000,0.00000000,4341.90000000,0.43950000,0.50420000
2025-01-01 00:00:00,31,2025-01-01 05:00:00,2025-01-01 05:10:00,0.16666667,4208.22080000,0.00210000,4208.21870000,0.43330000,0.46390000
2025-01-01 00:00:00,32,2025-01-01 05:10:00,2025-01-01 05:20:00,0.16666667,4302.12330000,0.00000000,4302.12330000,0.44390000,0.48990000
2025-01-01 00:00:00,33,2025-01-01 05:20:00,2025-01-01 05:30:00,0.16666667,4456.59000000,0.00000000,4456.59000000,0.43010000,0.51940000
2025-01-01 00:00:00,34,2025-01-01 05:30:00,2025-01-01 05:40:00,0.16666667,4148.63700000,0.02990000,4148.60710000,0.37130000,0.44590000
2025-01-01 00:00:00,35,2025-01-01 05:40:00,2025-01-01 05:50:00,0.16666667,4498.13330000,0.00000000,4498.13330000,0.57080000,0.67260000
2025-01-01 00:00:00,36,2025-01-01 05:50:00,2025-01-01 06:00:00,0.16666667,5369.38000000,0.00000000,5369.38000000,0.90990000,1.06930000
2025-01-01 00:00:00,37,2025-01-01 06:00:00,2025-01-01 06:10:00,0.16666667,5440.89910000,0.41690000,5440.48220000,0.93680000,1.06960000
2025-01-01 00:00:00,38,2025-01-01 06:10:00,2025-01-01 06:20:00,0.16666667,5316.89300000,0.00000000,5316.89300000,0.87580000,0.99740000
2025-01-01 00:00:00,39,2025-01-01 06:20:00,2025-01-01 06:30:00,0.16666667,5399.82000000,0.00000000,5399.82000000,0.87590000,1.04510000
2025-01-01 00:00:00,40,2025-01-01 06:30:00,2025-01-01 06:40:00,0.16666667,5447.40070000,5.80620000,5441.59450000,0.86010000,1.06840000
2025-01-01 00:00:00,41,2025-01-01 06:40:00,2025-01-01 06:50:00,0.16666667,5444.40100000,0.00000000,5444.40100000,0.84420000,1.02670000
2025-01-01 00:00:00,42,2025-01-01 06:50:00,2025-01-01 07:00:00,0.16666667,5433.63000000,3.07500000,5430.55500000,0.83340000,0.98140000
2025-01-01 00:00:00,43,2025-01-01 07:00:00,2025-01-01 07:10:00,0.16666667,5449.28180000,175.79530000,5273.48650000,0.80920000,1.01870000
2025-01-01 00:00:00,44,2025-01-01 07:10:00,2025-01-01 07:20:00,0.16666667,5510.00420000,421.49600000,5088.50820000,0.79720000,1.03620000
2025-01-01 00:00:00,45,2025-01-01 07:20:00,2025-01-01 07:30:00,0.16666667,5476.00000000,677.10000000,4798.90000000,0.76440000,0.96700000
2025-01-01 00:00:00,46,2025-01-01 07:30:00,2025-01-01 07:40:00,0.16666667,5329.42150000,950.81120000,4378.61030000,0.68990000,0.89300000
2025-01-01 00:00:00,47,2025-01-01 07:40:00,2025-01-01 07:50:00,0.16666667,6084.11630000,1255.57050000,4828.54580000,0.86000000,1.13600000
2025-01-01 00:00:00,48,2025-01-01 07:50:00,2025-01-01 08:00:00,0.16666667,7316.00000000,1592.28750000,5723.71250000,1.16170000,1.52090000
2025-01-01 00:00:00,49,2025-01-01 08:00:00,2025-01-01 08:10:00,0.16666667,7469.49470000,1937.52120000,5531.97350000,1.16830000,1.52060000
2025-01-01 00:00:00,50,2025-01-01 08:10:00,2025-01-01 08:20:00,0.16666667,7225.69100000,2225.12610000,5000.56490000,1.09560000,1.41320000
2025-01-01 00:00:00,51,2025-01-01 08:20:00,2025-01-01 08:30:00,0.16666667,7216.13000000,2490.11250000,4726.01750000,1.08490000,1.38950000
