time_s,r_0.0_cm,r_0.1_cm,r_0.2_cm,r_0.3_cm,r_0.4_cm,r_0.5_cm,r_0.6_cm,r_0.7_cm,r_0.8_cm,r_0.9_cm,r_1.0_cm,r_1.1_cm,r_1.2_cm,r_1.3_cm,r_1.4_cm,r_1.5_cm,r_1.6_cm,r_1.7_cm,r_1.8_cm,r_1.9_cm,r_2.0_cm
1,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.51988821
2,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.50748207
3,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.49802059
4,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999995,2.49007914
5,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999946,2.48310927
6,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999718,2.47682712
7,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999031,2.47106808
8,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54997472,2.46572380
9,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54994561,2.46071697
10,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54989823,2.45599216
11,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54982821,2.45150845
12,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54973186,2.44723457
13,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54960632,2.44314457
14,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54944954,2.43921690
15,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54926016,2.43543407
16,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999991,2.54903740,2.43178185
17,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999983,2.54878099,2.42824842
18,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999967,2.54849114,2.42482398
19,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999941,2.54816823,2.42149898
20,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999900,2.54781309,2.41826630
21,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999838,2.54742653,2.41511853
22,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999748,2.54700962,2.41204975
23,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999621,2.54656345,2.40905455
24,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999448,2.54608907,2.40612783
25,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999217,2.54558782,2.40326575
26,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54998917,2.54506094,2.40046457
27,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54998536,2.54450953,2.39772042
28,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54998058,2.54393497,2.39503090
29,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54997471,2.54333827,2.39239249
30,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999999,2.54996759,2.54272064,2.38980286
31,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999998,2.54995906,2.54208319,2.38725971
32,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999997,2.54994898,2.54142690,2.38476043
33,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999996,2.54993718,2.54075281,2.38230320
34,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999994,2.54992351,2.54006188,2.37988600
35,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999991,2.54990783,2.53935503,2.37750705
36,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999987,2.54988996,2.53863313,2.37516475
37,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999982,2.54986980,2.53789706,2.37285739
38,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.55000000,2.54999976,2.54984716,2.53714759,2.37058376
